61;20;1;8va. Exposición Forjadores del Futuro (Niveles Provincial y Nacional);images/Eventos/1997 - 8va. Exposicion Forjadores del Futuro - 2 - Nacional.jpg;*
62;20;0;(1997) La Habana, Cuba;;*
63;20;0;(Presentación Oral) Medicid 4. Sistema de electroencefalografía digital;;*
64;21;1;TECBIOMED;;*
65;21;0;(1996) Instituto Central de Investigaciones Digitales (ICID), Cuba;;*
66;21;0;(Presentación Oral) Neuronica 4;;*
67;22;1;Joven Ciencia;;*
68;22;0;(1996) La Habana, Cuba;;*
69;22;0;(Presentación Oral) Recuperación de equipos de neurofisiología. Sistema para la adquisición y procesamiento de señales electrofisiológicas;;*
70;23;1;XI Fórum de Ciencia y Técnica (Niveles Municipal, Provincial y Nacional);images/Eventos/1996 - XI Forum de ciencia y tecnica - Nacional.jpg;*
71;23;0;(1996) La Habana, Cuba;;*
72;23;0;(Presentación Oral) Neuronica 4: Equipo para el registro de la actividad muscular y las respuestas cerebrales de los sistemas sensoriales;;*
73;24;1;Congreso Nacional de Bioingeniería y Física Médica;images/Eventos/1995 - Congreso nacional de bioingenieria y fisica medica.jpg;*
74;24;0;(1995) Instituto Superior politécnico Jose Antonio Echeverría (ISPJAE), Cuba;;*
75;24;0;(Presentación Oral) Sistema computacional para la obtención de potenciales evocados auditivos de estado estable, Sistema para la digitalización del EEG;;*
76;25;1;Festival de las BTJ;images/Eventos/1995 - Festival de las BTJ- 1.jpg;*
77;25;0;(1995) La Habana, Cuba;;*
78;25;0;(Presentación Oral) Familia Medicid 04;;*
79;26;1;Festival de las BTJ;images/Eventos/1995 - Festival de las BTJ- 2.jpg;*
80;26;0;(1995) La Habana, Cuba;;*
81;26;0;(Presentación Oral) Recuperación de equipos de Neurofisiología;;*
82;27;1;X Fórum de Ciencia y Técnica;images/Eventos/1995 - X Forum de ciencia y tecnica - CNIC.jpg;*
83;27;0;(1995) Centro Nacional de Investigaciones Científicas (CNIC), Cuba;;*
84;27;0;(Presentación Oral) Recuperación de equipos de Neurofisiología;;*
85;27;0;(Presentación Oral) Nueva familia de equipos;;*
86;28;1;XII Seminario Científico;images/Eventos/1995 - XII Seminario Cientifico - CNIC - 1.jpg;*
87;28;0;(1995) Centro Nacional de Investigaciones Científicas (CNIC), Cuba;;*
88;28;0;(Presentación Oral) Sistema para la digitalización del EEG;;*
89;29;1;XII Seminario Científico;images/Eventos/1995 - XII Seminario Cientifico - CNIC - 2.jpg;*
90;29;0;(1995) Centro Nacional de Investigaciones Científicas (CNIC), Cuba;;*
91;29;0;(Presentación Oral) Sistema para la recogida y procesamiento de señales electrofisiológicas;;*
92;30;1;VIII Fórum de Piezas de Repuesto y Tecnología de Avanzada;;*
93;30;0;(1993) La Habana, Cuba;;*
94;30;0;(Presentación Oral) NX1: Sistema de adquisición de datos;;*
